anime_id,name,genre
32902,Mahoutsukai no Yome: Hoshi Matsu Hito,"Fantasy, Magic"
8063,Sekaiichi Hatsukoi OVA,"Comedy, Drama, Romance, Shounen Ai"
25879,Working!!!,"Comedy, Romance, Slice of Life"
889,Black Lagoon,"Action, Seinen"
21419,Detective Conan Movie 18: The Sniper from Another Dimension,"Action, Mystery, Police, Shounen"
2952,Final Fantasy VII: Advent Children Complete,"Action, Fantasy, Super Power"
934,Higurashi no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural, Thriller"
12189,Hyouka,"Mystery, School, Slice of Life"
731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,"Adventure, Drama, Music, Sci-Fi"
1530,Kanon (2006),"Drama, Romance, Slice of Life, Supernatural"
9656,Kimi ni Todoke 2nd Season,"Romance, School, Shoujo, Slice of Life"
20507,Noragami,"Action, Adventure, Shounen, Supernatural"
31149,Persona 3 the Movie 4: Winter of Rebirth,"Action, Fantasy, Seinen, Supernatural"
